index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
150,Fresno,City,Fresno,california,36.7377981,-119.7871247,2.43,89,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.74,1,1018.0,3.91,0.0
151,Fullerton,City,Orange,california,33.8703645,-117.9242123,3.04,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,5.33,0.0
152,Galt,City,Sacramento,california,38.2546373,-121.2999485,1.91,67,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.14,1,1019.0,2.1,1.02
153,Garden Grove,City,Orange,california,33.7742692,-117.9379952,3.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,20,1015.0,5.33,0.0
154,Gardena,City,Los Angeles,california,33.8883487,-118.3089624,3.05,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
155,Gilroy,City,Santa Clara,california,37.0057816,-121.5682751,2.2,49,Good air quality,pm25,2018-12-01 06:06:27+00,12.35,40,1020.0,1.5,0.89
156,Glendale,City,Los Angeles,california,34.1425078,-118.255075,2.98,69,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1015.0,2.1,0.0
157,Glendora,City,Los Angeles,california,34.1361187,-117.865339,3.02,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,0.53,0.0
158,Goleta,City,Santa Barbara,california,34.4358294,-119.8276389,2.89,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.13,1,1018.0,4.1,0.0
159,Gonzales,City,Monterey,california,36.5066295,-121.4443806,2.36,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,1.91,0.38
160,Grand Terrace,City,San Bernardino,california,34.0339031,-117.3136544,3.03,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.48,1,1016.0,0.53,0.0
161,Grass Valley,City,Nevada,california,39.2190608,-121.0610606,1.85,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.05,1,1017.0,3.1,0.0
162,Greenfield,City,Monterey,california,36.3207998,-121.2438138,2.46,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.6,1,1020.0,1.91,0.51
163,Gridley,City,Butte,california,39.3637773,-121.6935833,1.74,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.25,1,1017.0,3.1,0.0
164,Grover Beach,City,San Luis Obispo,california,35.1216424,-120.6212821,2.74,40,Good air quality,pm25,2018-12-01 06:06:27+00,14.64,1,1019.0,1.93,0.0
165,Guadalupe,City,Santa Barbara,california,34.971644,-120.5718363,2.79,21,Good air quality,pm25,2018-12-01 06:06:27+00,15.02,1,1019.0,2.1,0.0
